opportunity_name,applications_2023,applications_2024,difference
Data Visualization Associate,32,519,487
Project Management Associate,18,460,442
Business Consulting,21,462,441
Digital Strategy Virtual Internship,19,312,293
Freelance Mastery workshop,0,237,237
Jump Start: Developing your Emotional Intelligence,25,200,175
UrbanRenew Challenge,0,138,138
Xperience Design Hackathon,0,116,116
UX Redesign Challenge,0,112,112
Digital Marketing,241,318,77
Project Management,394,442,48
Innovation & Entrepreneurship,190,229,39
Upload Your First Year Transcript,6,3,-3
Slide Geeks: A Presentation Design Competition,4,0,-4
Startup Mastery Workshop,135,127,-8
Data Visualization,498,482,-16
Mental and Physical Health Session,36,10,-26
AI Ethics Challenge,55,0,-55
Join a Student Organisation,112,9,-103
CPR/AED Certification,266,123,-143
Health Care Management,542,242,-300
Career Essentials: Getting Started with Your Professional Journey,1143,236,-907
